2019-03-20-17-16-19: adminadmin visited admin page
2019-03-20-17-16-23: adminadmin visited admin page
2019-03-20-17-16-26: adminadmin visited admin page
2019-03-20-17-16-49: adminadmin visited admin page
2019-03-20-17-16-56: adminadmin visited admin page
2019-03-20-17-18-11: adminadmin visited admin page
2019-03-20-17-18-32: adminadmin visited admin page
2019-03-20-17-18-37: adminadmin visited admin page
2019-03-20-17-18-46: adminadmin visited admin page
2019-03-20-17-20-00: adminadmin visited admin page
2019-03-20-17-20-54: adminadmin visited admin page
2019-03-20-17-21-12: adminadmin visited admin page
2019-03-20-17-22-19: adminadmin visited admin page
2019-03-20-17-23-06: adminadmin visited admin page
2019-03-20-17-30-11: adminadmin visited admin page
2019-03-20-17-31-39: adminadmin visited admin page
2019-03-20-17-32-39: adminadmin visited admin page
2019-03-20-17-34-39: adminadmin visited admin page
2019-03-20-17-35-19: adminadmin visited admin page
2019-03-20-17-37-01: adminadmin visited admin page
2019-03-20-17-44-09: adminadmin logged in
2019-03-20-17-44-09: adminadmin visited team page
2019-03-20-17-44-34: adminadmin visited admin page
2019-03-20-17-45-28: adminadmin visited admin page
2019-03-20-17-45-37: adminadmin visited admin page
2019-03-20-17-45-38: adminadmin visited admin page
2019-03-20-17-45-53: adminadmin visited admin page
2019-03-20-17-48-00: adminadmin visited admin page
2019-03-20-18-04-57: adminadmin visited admin page
2019-03-20-18-05-07: adminadmin visited admin page
2019-03-20-18-05-07: SQLSTATE[42000]: Syntax error or access violation: 1065 Query was empty
2019-03-20-18-05-22: adminadmin visited admin page
2019-03-20-18-05-45: adminadmin visited admin page
2019-03-20-18-05-45: adminadmin visited admin page
2019-03-20-18-05-50: adminadmin visited admin page
2019-03-20-18-06-07: adminadmin visited admin page
2019-03-20-18-52-22: adminadmin visited admin page
2019-03-20-18-53-10: adminadmin visited admin page
2019-03-20-18-54-42: adminadmin visited admin page
2019-03-20-18-55-40: adminadmin visited admin page
2019-03-20-18-56-17: adminadmin visited admin page
2019-03-20-18-57-15: adminadmin visited admin page
2019-03-20-18-58-24: adminadmin visited admin page
2019-03-20-19-00-20: adminadmin visited admin page
2019-03-20-19-02-32: adminadmin visited admin page
2019-03-20-19-02-53: adminadmin visited admin page
2019-03-20-19-03-44: adminadmin visited admin page
2019-03-20-19-04-07: adminadmin visited admin page
2019-03-20-19-04-12: adminadmin visited admin page
2019-03-20-19-05-15: adminadmin visited admin page
2019-03-20-19-06-05: adminadmin visited admin page
2019-03-20-19-06-20: adminadmin visited admin page
2019-03-20-19-06-33: adminadmin visited admin page
2019-03-20-19-07-13: adminadmin visited admin page
2019-03-20-19-09-29: adminadmin visited admin page
2019-03-20-19-10-03: adminadmin visited admin page
2019-03-20-19-10-15: adminadmin visited admin page
2019-03-20-19-10-41: adminadmin visited admin page
2019-03-20-19-12-52: adminadmin visited admin page
2019-03-20-19-13-08: adminadmin visited admin page
2019-03-20-19-15-40: adminadmin visited admin page
2019-03-20-19-15-58: adminadmin visited admin page
2019-03-20-19-33-22: adminadmin visited admin page
2019-03-20-19-33-38: adminadmin visited admin page
2019-03-20-19-33-48: adminadmin visited admin page
2019-03-20-19-34-34: adminadmin visited admin page
2019-03-20-19-35-59: adminadmin visited admin page
2019-03-20-19-36-10: adminadmin visited admin page
2019-03-20-19-36-13: adminadmin visited team page
2019-03-20-19-36-14: adminadmin visited admin page
2019-03-20-19-38-21: adminadmin visited admin page
2019-03-20-19-39-48: adminadmin visited admin page
2019-03-20-19-39-56: adminadmin visited admin page
2019-03-20-19-40-43: adminadmin visited admin page
2019-03-20-20-00-19: adminadmin visited admin page
2019-03-20-20-02-11: adminadmin visited admin page
2019-03-20-20-02-33: adminadmin visited admin page
2019-03-20-20-02-38: adminadmin visited team page
2019-03-20-20-02-40: adminadmin visited admin page
2019-03-20-20-04-18: adminadmin visited admin page
2019-03-20-20-05-55: adminadmin visited admin page
2019-03-20-20-07-09: adminadmin visited admin page
2019-03-20-20-07-55: adminadmin visited admin page
2019-03-20-20-08-06: adminadmin visited admin page
2019-03-20-20-08-11: adminadmin visited admin page
2019-03-20-20-10-29: adminadmin visited admin page
2019-03-20-20-10-59: adminadmin visited admin page
2019-03-20-20-11-04: adminadmin visited admin page
2019-03-20-20-11-23: adminadmin visited admin page
2019-03-20-20-11-29: adminadmin visited admin page
2019-03-20-20-11-37: adminadmin visited admin page
2019-03-20-20-12-47: adminadmin visited admin page
2019-03-20-20-13-14: adminadmin visited admin page
2019-03-20-20-13-33: adminadmin visited admin page
2019-03-20-20-13-50: adminadmin visited admin page
2019-03-20-20-14-20: adminadmin visited admin page
2019-03-20-20-14-41: adminadmin visited admin page
2019-03-20-20-15-33: adminadmin visited admin page
2019-03-20-20-16-16: adminadmin visited admin page
2019-03-20-20-16-53: adminadmin visited admin page
2019-03-20-20-17-06: adminadmin visited admin page
2019-03-20-20-17-10: adminadmin visited admin page
2019-03-20-20-17-25: adminadmin visited admin page
2019-03-20-20-17-55: adminadmin visited admin page
2019-03-20-20-18-47: adminadmin visited admin page
2019-03-20-20-19-03: adminadmin visited admin page
2019-03-20-20-19-10: adminadmin visited admin page
2019-03-20-20-19-55: adminadmin visited admin page
2019-03-20-20-20-02: adminadmin visited admin page
2019-03-20-20-20-10: adminadmin visited admin page
2019-03-20-20-20-23: adminadmin visited admin page
2019-03-20-20-22-33: adminadmin visited admin page
2019-03-20-20-22-46: adminadmin visited admin page
2019-03-20-20-23-00: adminadmin visited admin page
2019-03-20-21-24-52: adminadmin visited admin page
2019-03-20-21-26-42: adminadmin visited admin page
2019-03-20-21-26-43: adminadmin visited admin page
2019-03-20-21-27-00: adminadmin visited admin page
2019-03-20-21-27-02: adminadmin visited admin page
2019-03-20-21-27-05: adminadmin visited admin page
2019-03-20-21-51-42: adminadmin visited admin page
2019-03-20-21-55-04: adminadmin visited admin page
2019-03-20-21-56-15: adminadmin visited admin page
2019-03-20-22-18-53: adminadmin visited admin page
2019-03-20-22-18-54: adminadmin visited admin page
2019-03-20-22-18-56: adminadmin visited admin page
2019-03-20-22-19-03: adminadmin visited admin page
2019-03-20-22-19-15: adminadmin visited admin page
2019-03-20-22-19-35: adminadmin visited admin page
2019-03-20-22-24-05: adminadmin visited admin page
2019-03-20-22-27-09: adminadmin visited admin page
2019-03-20-22-30-21: adminadmin visited admin page
2019-03-20-22-30-37: adminadmin visited admin page
2019-03-20-22-31-06: adminadmin visited admin page
2019-03-20-22-36-01: adminadmin visited admin page
2019-03-20-22-36-13: adminadmin visited admin page
2019-03-20-22-37-08: adminadmin visited admin page
2019-03-20-22-41-25: adminadmin visited admin page
2019-03-20-22-41-26: SQLSTATE[42000]: Syntax error or access violation: 1065 Query was empty
2019-03-20-22-41-33: adminadmin visited admin page
2019-03-20-22-41-34: SQLSTATE[42000]: Syntax error or access violation: 1065 Query was empty
2019-03-20-22-41-38: adminadmin visited admin page
2019-03-20-22-41-39: SQLSTATE[42000]: Syntax error or access violation: 1065 Query was empty
2019-03-20-22-42-28: adminadmin visited admin page
2019-03-20-22-44-16: adminadmin visited admin page
2019-03-20-22-45-07: adminadmin visited admin page
2019-03-20-22-45-44: SQLSTATE[42000]: Syntax error or access violation: 1065 Query was empty
2019-03-20-22-46-53: adminadmin visited admin page
2019-03-20-22-47-00: adminadmin visited admin page
2019-03-20-22-47-03: adminadmin visited admin page
2019-03-20-22-47-14: adminadmin visited admin page
2019-03-20-22-49-44:  visited admin page
2019-03-20-22-49-50: adminadmin logged in
2019-03-20-22-49-50: adminadmin visited team page
2019-03-20-22-49-51: adminadmin visited admin page
2019-03-20-22-50-38: adminadmin visited admin page
2019-03-20-22-51-17: adminadmin visited admin page
2019-03-20-22-51-25: adminadmin visited admin page
2019-03-20-22-51-38: adminadmin visited admin page
2019-03-20-22-52-14: adminadmin visited admin page
2019-03-20-22-52-21: adminadmin visited admin page
2019-03-20-22-52-28: adminadmin visited admin page
2019-03-20-22-52-58: adminadmin visited admin page
2019-03-20-22-59-40: adminadmin visited admin page
2019-03-20-22-59-45: adminadmin visited admin page
2019-03-20-23-00-16: adminadmin visited admin page
2019-03-20-23-01-26: adminadmin visited admin page
2019-03-20-23-06-32: adminadmin visited admin page
2019-03-20-23-08-11: adminadmin visited admin page
